区名,町名,ふりがな
清水区,二の丸町,にのまるちょう
清水区,布沢,ぬのざわ
清水区,沼田町,ぬまたちょう
清水区,能島,のうじま
清水区,蜂ヶ谷,はちがや
清水区,蜂ヶ谷南町,はちがやみなみちょう
清水区,浜田町,はまだちょう
清水区,原,はら
清水区,半左衛門新田,はんざえもんしんでん
清水区,東大曲町,ひがしおおまがりちょう
清水区,日立町,ひたちちょう
清水区,日の出町,ひのでちょう
清水区,平川地,ひらかわじ
清水区,広瀬,ひろせ
清水区,富士見町,ふじみちょう
清水区,船越,ふなこし
清水区,船越一丁目,ふなこし1
清水区,船越二丁目,ふなこし2
清水区,船越三丁目,ふなこし3
清水区,船越町,ふなこしちょう
清水区,船越東町,ふなこしひがしちょう
清水区,船越南町,ふなこしみなみちょう
清水区,船原一丁目,ふなばら1
清水区,船原二丁目,ふなばら2
清水区,蛇塚,へびつか
清水区,堀込,ほりごめ
清水区,本郷町,ほんごうちょう
清水区,本町,ほんまち
清水区,真砂町,まさごちょう
清水区,松井町,まついちょう
清水区,松原町,まつばらちょう
清水区,馬走,まばせ
清水区,馬走北,まばせきた
清水区,馬走坂の上,まばせさかのうえ
清水区,万世町一丁目,まんせいちょう1
清水区,万世町二丁目,まんせいちょう2
清水区,御門台,みかどだい
清水区,緑が丘町,みどりがおかちょう
清水区,港町一丁目,みなとちょう1
清水区,港町二丁目,みなとちょう2
清水区,南岡町,みなみおかまち
清水区,南矢部,みなみやべ
清水区,美濃輪町,みのわちょう
清水区,三保,みほ
清水区,三保松原町,みほまつばらちょう
清水区,宮加三,みやかみ
清水区,宮下町,みやしたちょう
清水区,宮代町,みやしろちょう
清水区,向田町,むかいだちょう
清水区,迎山町,むかえやまちょう
清水区,村松,むらまつ
清水区,村松一丁目,むらまつ1
清水区,村松原一丁目,むらまつはら1
清水区,村松原二丁目,むらまつはら2
清水区,村松原三丁目,むらまつはら3
清水区,元城町,もとしろちょう
清水区,茂畑,もばた
清水区,八木間町,やぎまちょう
清水区,矢倉町,やぐらちょう
清水区,八坂北一丁目,やさかきた1
清水区,八坂北二丁目,やさかきた2
清水区,八坂町,やさかちょう
清水区,八坂西町,やさかにしちょう
清水区,八坂東一丁目,やさかひがし1
清水区,八坂東二丁目,やさかひがし2
清水区,八坂南町,やさかみなみちょう
清水区,谷田,やだ
清水区,八千代町,やちよちょう
清水区,谷津町一丁目,やつちょう1
清水区,谷津町二丁目,やつちょう2
清水区,山切,やまきり
清水区,弥生町,やよいちょう
清水区,山原,やんばら
清水区,由比,ゆい
清水区,由比阿僧,ゆいあそう
清水区,由比今宿,ゆいいまじゅく
清水区,由比入山,ゆいいりやま
清水区,由比北田,ゆいきただ
清水区,由比寺尾,ゆいてらお
清水区,由比西倉澤,ゆいにしくらさわ
清水区,由比西山寺,ゆいにしやまでら
清水区,由比東倉澤,ゆいひがしくらさわ
清水区,由比東山寺,ゆいひがしやまでら
清水区,由比町屋原,ゆいまちやはら
清水区,由比八千代,ゆいやちよ
清水区,横砂,よこすな
清水区,横砂中町,よこすななかちょう
清水区,横砂西町,よこすなにしちょう
清水区,横砂東町,よこすなひがしちょう
清水区,横砂本町,よこすなほんちょう
清水区,横砂南町,よこすなみなみちょう
清水区,吉原,よしわら
清水区,和田島,わだしま
